epoch,train_loss,val_loss,train_acc,val_acc
1,2.574319380158197,2.099092007307482,30.04709077251979,42.72265880812049
2,2.164349583843499,1.9750398297584493,40.68151614953487,46.84020956123117
3,2.0359017674892095,1.902009779870198,44.8662390940082,49.574328749181404
4,1.9494821110847036,1.8607048607621517,47.93725082336627,51.0396201702685
5,1.8842815203719572,1.7990930005517929,50.63124747212111,53.421741977734115
6,1.8356548445282053,1.806657643218315,52.39209568382736,52.54584151931893
7,1.7928763147643225,1.7473119129061074,54.171722424452526,55.35363457760314
8,1.7546151683643432,1.7451631330070696,55.525221008840354,55.31270464963982
9,1.7234219768792116,1.7457411176871256,56.60570867279135,56.31958087753765
10,1.688753356224067,1.7754173035396956,58.23221817761599,55.02619515389653
11,1.6606014863400274,1.7018931167912108,59.451378055122206,57.858546168958746
12,1.6307109750793514,1.686957330603874,60.53619922574681,58.128683693516706
13,1.6055828656815336,1.6774242673244777,61.322008435893,58.64440078585462
14,1.5840844161629457,1.6734891243630055,62.42127462876292,58.971840209561236
15,1.5635377678765388,1.6999111225467702,63.207083838909114,58.52161100196464
16,1.5450792555006947,1.6675248988635878,63.601432946206735,59.81499672560576
17,1.5223376823661507,1.6529352814739287,64.74258970358814,59.651277013752456
18,1.5034948187482555,1.684420035147542,65.66273762061594,58.75900458415193
19,1.4837772526714585,1.6993989938216685,66.6681111688912,58.61984282907662
20,1.4647560713471854,1.6716747421244675,67.16790893857977,59.626719056974466
21,1.4479248080808882,1.6613858601185665,67.89304905529553,60.126064178127045
22,1.4319192536877616,1.6772504233565007,68.85075403016121,59.82318271119843
23,1.4167129318066314,1.6753253112912803,69.3173282486855,59.741322855271775
24,1.4030820177575356,1.6706797933079185,69.93268619633675,60.13425016371971
25,1.3905840669233565,1.6687707688795959,70.50615357947652,60.74819908316962
26,1.3775047441727573,1.6660467155316738,70.93372623793842,60.08513425016372
27,1.3690868670089849,1.6677775039722782,71.52163864332351,60.690897184020955
28,1.3525278483433116,1.6809131949359835,72.19622118218062,60.322527832351014
29,1.3438064427340537,1.6698774355244261,72.55156872941583,60.54354944335299
30,1.3359283680395806,1.6779991531871377,72.90980528110013,60.28159790438769
31,1.3249723481603117,1.6877014786785185,73.34604495290922,60.42894564505566
32,1.3213582181005072,1.6685264260356962,73.56705379326284,60.78094302554028
33,1.3128096573674524,1.6834067437037123,73.96429190500953,60.41257367387033
34,1.309983915740593,1.6769518689959462,74.15496619864794,60.682711198428294
35,1.3035870445633992,1.67250095986571,74.25897035881435,60.8218729535036
36,1.301719497400379,1.6734229270076253,74.45108915467729,60.64996725605762
37,1.2965836475384653,1.6841704470949024,74.54931530594557,60.26522593320236
38,1.29535841952851,1.6772983904284333,74.8309932397296,60.690897184020955
39,1.2946631031424192,1.6743162458479717,74.77610215519732,60.52717747216765
40,1.2932737558914862,1.6766937253362846,74.75154561738026,60.66633922724296
